	id	post_main	SH	closing by	extra	desirable	period	vacancy	deadline	seats	apply	ring	locality	open	before	key skills	city	bonus	span	district	responisble	send	candidates with	station	location	criteria	mail	whatsapp	interested in	type	until	trainee	advantage	get	phone	department	facebook	Last Date	Time	age	posted	earn	join	Process	work	posts	about company	project	Hiring	compensation	Full time	limit	mode	work description	closing	Walk-in Drive	region	procedure	website	requirement	required	locale	NGO	share	site	intern	sponsor	duration	description	preferably	part time	goal	dept	weekly off	pay scale	resume	write	shifts	responsibilities	role	interview	preferable	email	profile	looking for	opening	eligibility	qualifications	spot	stipend	hours	Timings	extent	position	post	salary	Selection	benefits	language	Preferred Skills	mobile	Application deadline	area	experience	perks	place	Working days	qualification	time	link
0	563951803697189_625157330909969	HP PSC recruitment for Assistant Engineer Electrical in Himachal Pradesh, Last Date : 26 May 2014..To Apply Visit : http://dointernship.com/hp-psc-recruitment-assistant-engineer-electrical-himachal-pradesh-last-date-26-may-2014/	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1561967894059890_1602927413297271	#### Summer Internship ####..Internships are a proven way to gain relevant knowledge, skills, and experience while establishing important connections in the field. Internships are also a way to get your feet wet and find out if a specific field is something you could see yourself doing as a full-time job...APPLY NOW: http://goo.gl/8HmBvG..Join Inovas Online Summer Internship Program and work on a Live Company Project. Get an Internship this Summer. The Internship Certificate that you recieve at the end of the internship can be used on your CV and in the Industry for brighter Job Prospects or in the University/College where it is required as a part of your Curriculum...APPLY NOW: http://goo.gl/8HmBvG	H	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	563951803697189_625584537533915	"Haryana Public Service Commission hiring ""Assistant Engineer /Asst.Treasury Officers"" for freshers B.E/B.Tech/B.Sc/M.Sc graduates,Last Date:27 May 2014..To Apply Visit : http://dointernship.com/haryana-public-service-commission-hiring-assistant-engineer-asst-treasury-officers-freshers-b-eb-techb-scm-sc-graduateslast-date27-may-2014/"	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1430398747237523_1435700573374007	EID, Mechanical Field Engineering Intern at General Electric EG..Qualifications/Requirements .-Under graduate in BS Engineering Petroleum or Mechanical preferred with a GPA above 3.0..-Active listener and very good communication skills in English.-Proactive and high level of integrity..-Strives for achieving the Project goals and Customer satisfaction..-He/she is a team player, able to effectively communicate with multifunctional teams..-Willingness to work in harsh environments on as needed basis..-Available to travel at short notice..Desired Characteristics .-Effective communication and presentation skills..-Fluent Spoken/understanding of other languages..Apply from .http://goo.gl/qbDcyX..#General_Electric #Internship.#Summer_Training #_	H	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1430398747237523_1643931612550901	"Junior Accountant @ Nissan Motor Egypt. 6 .Deadline(mm/dd/yy): 10/15/2015.Languages English, Excellent.Country : Egypt.City: Giza.Job Category: Accounting.Job Type: Temporary.Job Level: Internship..Description : .1-involved in bank reconciliation..2- review and confirm bank balances .3- Assist in the AP and AR clearing..Qualifications : .*B.Sc. of commerce (English section).* Fresh Graduate (Males are preferable) .* Very good English Language - Excel - Communication skills -Oracle literacy is preferable. *This Vacancy is Temporary for 6 months only.Gender : Any.Car owner: Any.Education major : Accounting.Experience : 0 New Graduate Years..Salary (L.E.): Negotiable..Comments : .Please mention the job title ""Accounting Junior"" in your email subject otherwise the email will be discarded.Job Contact Email: Hebat-mahmoud@nissan.com.eg..#Accounting_Internship #Summer_Intern #Summer_Internship #Nissan #Nissan_Egypt # #_ # #_ #_ # # #_"	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	563951803697189_672556542836714	"******************NEW JOB*******************..TCS Walk-in Drive ""Team Member"" for Freshers B.Com/B.B.A/B.B.M/BA/BMS/B.Pharm/BSc Graduates, Chennai - 26 July 2014..To Apply Visit : http://dointernship.com/tcs-walk-drive-team-member-freshers-b-comb-b-ab-b-mbabmsb-pharmbsc-graduates-chennai-26-july-2014/"	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	359491334761_106680259536068	We are Embedded system company and inviting professionals for Summer Internship in our company Siliconeon Tech LABs...Please like our page and contact us 9529183388..http://www.facebook.com/SINTLabs	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	563951803697189_612599615499074	"Central Board of Excise and Customs (CBEC) hiring ""Tax Assistant"" for freshers Any degree graduates, Pune - Last Date: 5th May 2014 ..To Apply Visit : http://dointernship.com/central-board-excise-customs-cbec-hiring-tax-assistant-freshers-degree-graduates-pune-last-date-5th-may-2014/"	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	120798548114601_367909526736834	Customer service representative required for Emirates NBD Bank and to be hired as bank stuff after 11 with net salary 1500 the working place is in Fifth Avenue Maximum required age is 25 with Excellent English Skills and graduation documents.. IF you are interested to join Emirates NBD please send your resume @ sarahnaguib26@yahoo.com	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	563951803697189_723694384389596	******************NEW JOB*******************..Amdocs Job Openings For Freshers - BE,BTech,,MCA,MTech - 3.5L P.A - Oct 2014 ..To Apply Visit : http://dointernship.com/amdocs-job-openings-freshers-bebtechmcamtech-3-5l-p-oct-2014/	H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
